movieId,isFresh,isRotten,isTopCritic,scoreSentiment,rating,isVerified,isSuperReviewer,hasSpoilers,hasProfanity,movieRank,critic_score,audience_score
618ab0ee-b32e-36d1-a1ea-6e608003cdf2,True,False,True,1,3,False,False,False,False,44,.830000,.940000
9d36e70e-2ede-34a5-9f2e-8eae12cf7731,False,True,True,0,3,False,False,False,False,58,.790000,.910000
0e71cf84-e236-3ed7-9d91-3df34e6b2fae,True,False,True,1,5,False,False,False,True,86,.630000,.760000
37409a82-f3ab-3187-b0da-efeefa489456,False,True,False,0,0.5,False,False,False,True,14,.930000,.980000
a35e309a-6ed7-3731-a87b-703149c63705,True,False,True,1,3.5,False,False,False,True,21,.910000,.710000
86f13afa-deda-3061-9b4f-602d7b36a81f,False,True,False,0,4.5,False,False,False,True,34,.870000,.620000
e30a2b53-f8e0-35f2-a0a2-cac777f4bdc1,False,True,True,0,4.5,True,False,False,True,22,.910000,.950000
78566114-a33b-3c58-8a31-42bdb19ec6bd,False,True,True,0,1,False,False,True,True,61,.790000,.780000
42f2f1e9-670e-44db-80b9-7aaab25985b1,True,False,True,1,4,True,False,True,False,25,.900000,.820000
a2b255da-eb4d-3436-804b-fbe7b8732097,False,True,True,0,2,False,True,False,False,96,.570000,.680000
0b607287-3f4f-3c7d-9487-581fe7fbaf30,False,True,False,0,4,False,False,False,True,67,.730000,.900000
7b2bcd9a-359f-3ffd-bbbd-abe9e5ce3f9e,True,False,True,1,4,True,False,False,False,6,.940000,.900000
85a99b8b-4724-38b6-a5d0-23c0161a3ce5,False,True,True,0,4,False,False,False,False,28,.900000,.670000
13905397-4673-3e05-954d-8840645bebc2,True,False,False,1,5,False,False,False,True,83,.650000,.710000
7602d2ab-c9bc-3439-9cd6-d3a06e81728e,False,True,False,0,2.5,False,False,False,False,70,.810000,.620000
30a2404f-54da-31be-9de8-a847b4e3a21a,False,True,False,0,3.5,False,True,False,False,72,.730000,.720000
94a040f3-e1db-33b0-b7aa-6187e1406d21,True,False,False,1,3,False,False,False,False,88,.630000,.290000
6f0cd05c-4a2d-3f04-8c29-144523fd4db7,True,False,True,1,3.5,False,True,False,False,81,.670000,.750000
e1374d4d-19b0-31b2-a6cc-c4189f2b27ca,False,True,False,0,4,False,False,True,False,3,.960000,.790000
41ccc283-198e-3d38-bd20-dc6634bf300a,True,False,False,1,1,False,False,False,False,32,.870000,.790000
30a2404f-54da-31be-9de8-a847b4e3a21a,False,True,True,0,1,False,False,False,False,72,.730000,.720000
e70c15a3-eb05-3f65-9988-a1787615d464,False,True,True,0,2.5,False,False,False,False,47,.830000,.760000
94a040f3-e1db-33b0-b7aa-6187e1406d21,False,True,False,0,3.5,False,False,False,False,88,.630000,.290000
71e176b9-ce85-309f-b2f9-b9d18b60fce6,True,False,False,1,4.5,False,False,False,False,43,.840000,.850000
9ddacc49-1918-3722-b5d9-4a1fa6b9b2a3,False,True,False,0,4.5,False,True,False,False,2,.970000,.750000
3fb4becd-fb43-3cd3-bae2-ae9f1de6afae,False,True,False,0,5,False,False,False,False,63,.770000,.810000
27539355-4940-4c29-aaab-d3fe4dafa4ee,True,False,True,1,3.5,True,False,False,False,4,.950000,.940000
2da44bd6-2a22-3238-a139-a40ab1769550,False,True,True,0,3,True,False,False,False,5,.950000,.900000
94c0f3b6-6002-30d6-bdf1-bc878f7e6168,False,True,True,0,5,True,False,False,False,31,.890000,.860000
7807e2b5-72d7-3dc7-8cd4-b9482b82fe01,True,False,False,1,5,False,False,False,True,85,.630000,.830000
eed54fc4-8990-3bfd-bd98-f820427deaa2,False,True,True,0,0.5,True,False,False,False,95,.570000,.840000
10b522a5-873e-3e15-bd8b-65a079ab0b09,False,True,False,0,5,True,False,True,False,89,.620000,.820000
b923270d-59e5-3def-b2ea-dcf1ee2f0698,True,False,True,1,1,False,False,False,True,29,.900000,.910000
a5235f6a-68cb-3d9c-ac34-711bc90d6f8f,True,False,True,1,3,False,False,False,True,82,.650000,.720000
9d36e70e-2ede-34a5-9f2e-8eae12cf7731,False,True,True,0,0.5,False,False,True,True,58,.790000,.910000
f362b9f5-57e0-3021-a310-ececbcf2f49f,False,True,True,0,1,False,True,False,False,20,.910000,.910000
df35d67b-c89e-30fa-bff5-c31006cc6ae4,True,False,True,1,4,False,True,False,True,42,.850000,.850000
d786d56f-0745-3f2a-96c1-edf7a3711571,True,False,True,1,2,False,False,False,True,40,.850000,.900000
ce1eed7d-d2cd-300f-b282-8d22697a212b,True,False,True,1,4.5,False,True,False,False,36,.860000,.710000
a35e309a-6ed7-3731-a87b-703149c63705,True,False,True,1,1,False,False,False,False,21,.910000,.710000
f3d4d7d9-1a2c-37bc-b663-682e01ea1fbf,True,False,False,1,5,False,False,False,False,71,.730000,.570000
63ccb184-5e57-33d2-889d-6dbc482d925f,True,False,False,1,2,False,False,False,False,30,.900000,.800000
591fdf7c-5514-3d4b-89d5-d86b785eab41,False,True,True,0,2,False,True,False,False,68,.720000,.710000
d786d56f-0745-3f2a-96c1-edf7a3711571,True,False,False,1,4.5,False,False,False,False,40,.850000,.900000
41ca006b-8820-379c-84fc-aaae870b37f6,False,True,True,0,2.5,False,False,False,False,9,.940000,.910000
b2edf9af-70bb-3795-bff0-8867843b4925,True,False,True,1,3,False,True,False,False,87,.630000,.510000
e53766b7-818f-30e6-bf9c-0a6cad01d08a,True,False,False,1,3,False,False,False,False,59,.790000,.780000
41ccc283-198e-3d38-bd20-dc6634bf300a,False,True,True,0,4,False,False,False,False,32,.870000,.790000
df35d67b-c89e-30fa-bff5-c31006cc6ae4,False,True,True,0,4.5,False,False,False,True,42,.850000,.850000
0e71cf84-e236-3ed7-9d91-3df34e6b2fae,False,True,False,0,0.5,False,False,True,False,86,.630000,.760000
eed54fc4-8990-3bfd-bd98-f820427deaa2,True,False,True,1,2.5,False,False,False,True,95,.570000,.840000
27539355-4940-4c29-aaab-d3fe4dafa4ee,False,True,True,0,5,False,False,True,False,4,.950000,.940000
27539355-4940-4c29-aaab-d3fe4dafa4ee,True,False,True,1,5,True,False,True,False,4,.950000,.940000
37409a82-f3ab-3187-b0da-efeefa489456,True,False,True,1,4,True,False,False,True,14,.930000,.980000
94a040f3-e1db-33b0-b7aa-6187e1406d21,False,True,True,0,0.5,False,True,False,False,88,.630000,.290000
1da13563-6c5d-35ad-ae18-257cc926feff,True,False,False,1,2.5,False,True,False,False,49,.820000,.830000
1ce8792a-fb45-3bd8-a726-22005f03e075,True,False,True,1,5,True,False,False,True,100,.510000,.640000
f3d4d7d9-1a2c-37bc-b663-682e01ea1fbf,True,False,True,1,3,False,False,False,False,71,.730000,.570000
0b50d1b4-e68f-380f-a68c-042ee9b3576f,False,True,False,0,4,False,False,False,False,39,.850000,.870000
aae65496-63fc-3abe-aa6b-aeec81862322,False,True,True,0,3,False,True,False,False,10,.940000,.860000
1ce8792a-fb45-3bd8-a726-22005f03e075,True,False,False,1,1.5,False,False,False,False,100,.510000,.640000
94a040f3-e1db-33b0-b7aa-6187e1406d21,False,True,True,0,3,False,False,False,False,88,.630000,.290000
da04703c-b0d8-3dee-8910-bc1387164fc1,True,False,True,1,4.5,False,True,False,False,45,.860000,.900000
7f605414-22e0-3e06-8ae0-bda0fc44b24e,True,False,False,1,2,False,False,False,False,35,.860000,.870000
e70c15a3-eb05-3f65-9988-a1787615d464,True,False,False,1,1,False,False,False,False,47,.830000,.760000
be2237d2-7919-3bfb-a190-1a69f9dca460,False,True,False,0,3.5,False,False,False,False,92,.600000,.640000
4172e53a-d9ad-361d-936d-af46759fe0de,False,True,True,0,4,False,True,False,False,66,.740000,.600000
99d1aa42-8232-3217-b3bd-f8b7b3640740,False,True,False,0,2,False,False,False,False,74,.720000,.600000
4517f650-c60a-4edc-b37e-9236213c2b93,False,True,True,0,5,False,False,False,True,1,.970000,.940000
0607e8c6-88a2-34f4-9d0b-dc5cdd560dfe,False,True,True,0,1,False,False,False,False,53,.820000,.580000
19bc72d3-0e88-3fbe-8949-84db9d1c6fca,False,True,False,0,5,False,True,False,False,52,.820000,.730000
7736ffbf-e66b-3d05-b9a7-72d7286f8c09,True,False,True,1,1,False,False,False,True,78,.700000,.770000
4517f650-c60a-4edc-b37e-9236213c2b93,True,False,False,1,5,False,True,False,False,1,.970000,.940000
0b607287-3f4f-3c7d-9487-581fe7fbaf30,True,False,False,1,0.5,False,False,False,True,67,.730000,.900000
e30a2b53-f8e0-35f2-a0a2-cac777f4bdc1,False,True,True,0,1.5,False,False,False,True,22,.910000,.950000
0ade96f4-c9f4-3691-9912-8e7319858082,False,True,True,0,5,True,False,False,False,24,.900000,.820000
a35e309a-6ed7-3731-a87b-703149c63705,True,False,False,1,4,False,True,False,False,21,.910000,.710000
a3c1635d-c568-3c85-92b5-0589ab91d24d,False,True,False,0,2.5,False,True,False,False,97,.570000,.670000
161dddb8-84c7-3ded-b9ed-0b2381422464,True,False,True,1,4,True,False,False,False,16,.930000,.820000
3756680d-548e-352c-8655-f708337b763d,True,False,False,1,4.5,False,True,False,False,50,.810000,.660000
caf7974e-b836-3c04-95ab-3e77e3826a19,True,False,False,1,5,False,False,False,True,27,.900000,.920000
